Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,36.439999,36.580002,36.270000,36.360001,32.564007,73051800
2015-07-28,36.639999,36.759998,36.400002,36.730000,32.895378,49701300
2015-07-29,36.820000,37.250000,36.709999,37.090000,33.217793,61119900
2015-07-30,36.680000,36.790001,36.490002,36.720001,32.886421,44051400
2015-07-31,37.070000,37.259998,36.970001,37.119999,33.244656,85020500
2015-08-03,36.669998,36.700001,36.360001,36.500000,32.689388,45674700
2015-08-04,36.810001,36.930000,36.520000,36.630001,32.805817,38618400
2015-08-05,36.980000,37.009998,36.570000,36.639999,32.814770,30785300
2015-08-06,36.450001,36.470001,36.220001,36.320000,32.528183,42182300
2015-08-07,36.320000,36.459999,36.220001,36.299999,32.510269,37027200
2015-08-10,36.520000,36.990002,36.480000,36.910000,33.056587,43071900
2015-08-11,36.040001,36.150002,35.779999,36.099998,32.331146,58642500
2015-08-12,35.450001,35.549999,35.250000,35.540001,31.829618,64540000
2015-08-13,35.549999,35.709999,35.419998,35.480000,31.775879,58165600
2015-08-14,35.570000,35.680000,35.490002,35.529999,31.820654,35715200
2015-08-17,35.020000,35.180000,34.950001,35.139999,31.471371,42609500
2015-08-18,34.750000,34.849998,34.639999,34.759998,31.131039,42639500
2015-08-19,34.500000,34.680000,34.049999,34.330002,30.745937,112308600
2015-08-20,33.869999,33.970001,33.700001,33.790001,30.262314,116628600
2015-08-21,33.290001,33.450001,32.709999,32.750000,29.330891,129140200
2015-08-24,30.530001,32.220001,30.000000,31.320000,28.050184,218802300
2015-08-25,33.259998,33.279999,31.719999,31.719999,28.408422,135001800
2015-08-26,32.509998,32.900002,31.910000,32.770000,29.348804,134618500
2015-08-27,33.410000,34.279999,33.400002,34.220001,30.647427,144856300
2015-08-28,33.700001,34.009998,33.590000,33.779999,30.253355,68659200
2015-08-31,33.529999,33.900002,33.240002,33.840000,30.307089,98538600
2015-09-01,32.810001,33.020000,32.360001,32.529999,29.133862,83635900
2015-09-02,33.040001,33.049999,32.630001,33.000000,29.554792,55551000
2015-09-03,33.060001,33.570000,33.009998,33.130001,29.671221,67468200
2015-09-04,32.509998,32.610001,31.950001,32.139999,28.784576,81962800
2015-09-08,33.020000,33.209999,32.860001,33.160000,29.698086,53584300
2015-09-09,33.779999,33.840000,32.990002,32.990002,29.545837,56389200
2015-09-10,33.080002,33.529999,33.000000,33.330002,29.850344,49745400
2015-09-11,33.240002,33.500000,33.169998,33.459999,29.966772,42195900
2015-09-14,33.349998,33.450001,33.150002,33.410000,29.921986,39313800
2015-09-15,33.400002,33.820000,33.360001,33.730000,30.208576,51913600
2015-09-16,34.279999,34.689999,34.230000,34.549999,30.942970,85209600
2015-09-17,34.279999,35.349998,34.259998,34.470001,30.871326,105902400
2015-09-18,34.130001,34.380001,33.689999,33.830002,30.298138,90964900
2015-09-21,33.840000,33.910000,33.639999,33.770000,30.244404,45318300
2015-09-22,33.040001,33.169998,32.880001,33.139999,29.680176,58874100
2015-09-23,32.990002,33.029999,32.599998,32.610001,29.205511,44721000
2015-09-24,32.099998,32.630001,31.940001,32.470001,29.080124,79880800
2015-09-25,32.939999,32.939999,32.349998,32.400002,29.017431,59861600
2015-09-28,32.139999,32.150002,31.610001,31.709999,28.399466,58659500
2015-09-29,31.820000,32.020000,31.639999,31.860001,28.533808,52829500
2015-09-30,32.689999,32.849998,32.480000,32.779999,29.357756,80422200
2015-10-01,33.049999,33.119999,32.709999,32.959999,29.518969,48402600
2015-10-02,32.810001,33.849998,32.689999,33.840000,30.307089,83904700
2015-10-05,34.230000,34.590000,34.169998,34.570000,30.960882,77869000
2015-10-06,34.450001,34.590000,34.320000,34.509998,30.907148,47313400
2015-10-07,35.360001,35.650002,35.160000,35.430000,31.731100,97905900
2015-10-08,35.220001,35.860001,35.180000,35.810001,32.071426,64163600
2015-10-09,36.169998,36.259998,35.770000,35.939999,32.187859,61563400
2015-10-12,36.000000,36.020000,35.630001,35.669998,31.946037,44030200
2015-10-13,35.250000,35.549999,35.060001,35.090000,31.426596,72241600
2015-10-14,35.340000,35.529999,35.240002,35.360001,31.668409,57724900
2015-10-15,35.939999,36.240002,35.730000,36.220001,32.438622,60410800
2015-10-16,36.090000,36.259998,35.900002,36.250000,32.465492,65003800
2015-10-19,35.869999,35.900002,35.700001,35.880001,32.134125,52354600
2015-10-20,35.790001,35.930000,35.709999,35.869999,32.125156,44212500
2015-10-21,35.639999,35.669998,35.330002,35.349998,31.659449,55037000
2015-10-22,35.720001,36.160000,35.720001,36.080002,32.313240,56963300
2015-10-23,36.349998,36.419998,36.150002,36.290001,32.501316,53727000
2015-10-26,36.110001,36.130001,35.919998,35.959999,32.205765,41789200
2015-10-27,35.580002,35.709999,35.470001,35.549999,31.838568,56392800
2015-10-28,35.630001,35.799999,34.939999,35.139999,31.471371,125416000
