Date,Open,High,Low,Close,Adj Close,Volume
2011-08-01,157.470001,158.970001,156.779999,157.720001,157.720001,14825700
2011-08-02,159.330002,161.619995,158.970001,161.520004,161.520004,24284500
2011-08-03,162.360001,162.860001,161.339996,161.490005,161.490005,27823700
2011-08-04,163.610001,163.869995,159.679993,160.639999,160.639999,40380300
2011-08-05,161.639999,162.369995,160.479996,161.750000,161.750000,24554700
2011-08-08,165.479996,167.610001,164.759995,167.119995,167.119995,43002400
2011-08-09,169.929993,173.149994,167.479996,168.610001,168.610001,55765800
2011-08-10,172.460007,175.130005,171.619995,174.580002,174.580002,44797200
2011-08-11,172.279999,172.339996,168.649994,170.750000,170.750000,49888300
2011-08-12,169.570007,170.059998,167.770004,169.970001,169.970001,29220000
2011-08-15,169.320007,171.910004,168.949997,171.800003,171.800003,17798000
2011-08-16,172.600006,174.070007,172.500000,173.919998,173.919998,19658000
2011-08-17,173.869995,174.679993,173.250000,174.419998,174.419998,16482000
2011-08-18,177.149994,178.100006,176.410004,177.720001,177.720001,25512800
2011-08-19,181.639999,181.669998,178.910004,179.949997,179.949997,34398100
2011-08-22,181.949997,184.820007,181.600006,184.589996,184.589996,27482600
2011-08-23,182.240005,183.820007,177.500000,177.669998,177.669998,55265400
2011-08-24,177.899994,178.309998,170.309998,171.649994,171.649994,70700300
2011-08-25,167.000000,172.809998,165.880005,172.360001,172.360001,43273700
2011-08-26,173.570007,177.550003,171.750000,177.470001,177.470001,38673000
2011-08-29,175.949997,176.009995,172.880005,173.889999,173.889999,25265500
2011-08-30,177.699997,179.309998,176.660004,179.100006,179.100006,23441000
2011-08-31,177.729996,179.160004,176.330002,177.720001,177.720001,16054400
2011-09-01,177.440002,178.259995,176.550003,177.869995,177.869995,13895500
2011-09-02,182.820007,183.509995,182.100006,183.240005,183.240005,19911200
2011-09-06,184.580002,185.850006,181.309998,182.899994,182.899994,30254500
2011-09-07,176.190002,178.089996,174.449997,177.080002,177.080002,30760000
2011-09-08,181.389999,182.119995,179.770004,181.809998,181.809998,20741300
2011-09-09,179.759995,181.949997,179.169998,180.699997,180.699997,25429600
2011-09-12,178.729996,178.990005,175.330002,176.669998,176.669998,21812800
2011-09-13,177.520004,179.539993,176.289993,178.539993,178.539993,17246400
2011-09-14,177.550003,177.779999,176.050003,177.210007,177.210007,18122800
2011-09-15,174.610001,174.850006,172.559998,174.399994,174.399994,20897000
2011-09-16,173.720001,177.399994,173.710007,176.029999,176.029999,20693700
2011-09-19,176.830002,176.860001,172.199997,173.309998,173.309998,18301100
2011-09-20,173.179993,176.369995,172.839996,175.779999,175.779999,12667600
2011-09-21,174.789993,176.729996,173.139999,173.589996,173.589996,16431300
2011-09-22,169.300003,170.320007,167.479996,169.050003,169.050003,32476300
2011-09-23,164.509995,165.720001,158.550003,159.800003,159.800003,52981400
2011-09-26,157.119995,158.800003,154.190002,157.580002,157.580002,42373800
2011-09-27,161.610001,162.289993,159.910004,160.630005,160.630005,25124200
2011-09-28,160.729996,161.289993,155.559998,156.220001,156.220001,21776000
2011-09-29,158.119995,158.199997,156.139999,157.699997,157.699997,17340800
2011-09-30,157.300003,160.000000,156.330002,158.059998,158.059998,16770300
2011-10-03,161.089996,161.559998,159.929993,160.960007,160.960007,14200400
2011-10-04,160.949997,161.029999,155.270004,157.639999,157.639999,24000000
2011-10-05,158.009995,160.320007,156.440002,159.460007,159.460007,15132300
2011-10-06,160.020004,161.110001,158.770004,160.490005,160.490005,12389500
2011-10-07,161.020004,161.580002,158.229996,159.179993,159.179993,12977400
2011-10-10,162.050003,163.320007,161.139999,163.270004,163.270004,8984500
2011-10-11,162.210007,162.509995,161.210007,162.100006,162.100006,8256900
2011-10-12,163.699997,164.000000,162.500000,163.259995,163.259995,10867900
2011-10-13,162.300003,162.479996,160.820007,162.300003,162.300003,8327900
2011-10-14,163.330002,163.820007,162.250000,163.399994,163.399994,9737900
2011-10-17,164.000000,164.160004,161.949997,162.619995,162.619995,8765700
2011-10-18,159.960007,162.029999,158.300003,161.839996,161.839996,15390800
2011-10-19,161.089996,161.429993,159.550003,159.869995,159.869995,8528700
2011-10-20,157.619995,158.419998,156.050003,157.770004,157.770004,17367500
2011-10-21,159.990005,160.449997,158.940002,159.520004,159.520004,13334500
2011-10-24,160.550003,161.330002,160.220001,161.020004,161.020004,10199800
2011-10-25,161.240005,166.339996,160.410004,165.589996,165.589996,22130800
2011-10-26,167.029999,168.050003,166.419998,167.399994,167.399994,17116300
2011-10-27,167.589996,170.289993,166.649994,169.550003,169.550003,15876900
2011-10-28,169.639999,169.940002,168.750000,169.619995,169.619995,9362900
2011-10-31,167.759995,168.160004,166.910004,167.339996,167.339996,8437200
2011-11-01,164.029999,167.410004,163.610001,167.380005,167.380005,15335400
2011-11-02,168.589996,169.740005,167.300003,169.059998,169.059998,14530500
2011-11-03,171.169998,172.039993,169.899994,171.720001,171.720001,17610400
2011-11-04,171.029999,171.339996,170.160004,170.850006,170.850006,11060400
2011-11-07,172.850006,175.000000,172.710007,174.979996,174.979996,20131900
2011-11-08,174.350006,175.460007,172.899994,173.529999,173.529999,16054200
2011-11-09,174.279999,174.809998,171.610001,172.070007,172.070007,12313900
2011-11-10,172.429993,172.589996,168.830002,171.139999,171.139999,11848700
